"","v_disp_horiz","v_cont_vert","miu_disp","miu_cont","surface_t","d","f","Ca_disp","Re_disp","Q_rel","Miu_rel","Catg"
"1",0.25,2,59.2,59.2,5,0.28,6.944444444,2.96,0.004222972973,0.125,1,NA
"2",0.25,2,118.4,59.2,5,0.12,83.33333333,5.92,0.002111486486,0.125,2,NA
"3",0.25,2,74,59.2,5,0.18,22.22222222,3.7,0.003378378378,0.125,1.25,NA
"4",0.25,2,88.8,59.2,5,0.2,41.66666667,4.44,0.002815315315,0.125,1.5,NA
"5",0.25,2,103.6,59.2,5,0.22,27.77777778,5.18,0.002413127413,0.125,1.75,NA
"6",0.25,2,44.4,59.2,5,0.3,5.747126437,2.22,0.005630630631,0.125,0.75,NA
"7",0.25,2,1.95,59.2,5,0.24,7.01754386,0.0975,0.1282051282,0.125,0.03293918919,NA
"8",0.25,2,1.95,59.2,2.5,0.1,33.33333333,0.195,0.1282051282,0.125,0.03293918919,NA
"9",0.25,2,1.95,59.2,7.5,0.28,5.128205128,0.065,0.1282051282,0.125,0.03293918919,NA
"10",0.25,2,1.95,59.2,3.3,0.12,33.33333333,0.1477272727,0.1282051282,0.125,0.03293918919,NA
"11",0.25,2,1.95,59.2,1,0.12,22.22222222,0.4875,0.1282051282,0.125,0.03293918919,NA
"12",0.25,2,1.95,59.2,6,0.28,6.060606061,0.08125,0.1282051282,0.125,0.03293918919,NA
"13",0.25,2,1.95,59.2,9,0.36,4.597701149,0.05416666667,0.1282051282,0.125,0.03293918919,NA
"14",0.25,2,1.95,59.2,1.66,0.1,19.04761905,0.2936746988,0.1282051282,0.125,0.03293918919,NA
"15",0.66,2,1.95,59.2,5,0.34,20,0.2574,0.3384615385,0.33,0.03293918919,NA
"16",0.4,2,1.95,59.2,5,0.32,21.33333333,0.156,0.2051282051,0.2,0.03293918919,NA
"17",0.25,2,1.95,59.2,5,0.48,7.01754386,0.0975,0.1282051282,0.125,0.03293918919,NA
"18",1,2,1.95,59.2,5,0.42,13.33333333,0.39,0.5128205128,0.5,0.03293918919,NA
"19",1.5,2,1.95,59.2,5,0.46,16.66666667,0.585,0.7692307692,0.75,0.03293918919,NA
"20",0.25,2,59.2,59.2,5,0.28,6.944444444,2.96,0.004222972973,0.125,1,"2"
"21",0.25,2,118.4,59.2,5,0.12,83.33333333,5.92,0.002111486486,0.125,2,"2"
"22",0.25,2,74,59.2,5,0.18,22.22222222,3.7,0.003378378378,0.125,1.25,"2"
"23",0.25,2,88.8,59.2,5,0.2,41.66666667,4.44,0.002815315315,0.125,1.5,"2"
"24",0.25,2,103.6,59.2,5,0.22,27.77777778,5.18,0.002413127413,0.125,1.75,"2"
"25",0.25,2,44.4,59.2,5,0.3,5.747126437,2.22,0.005630630631,0.125,0.75,"2"
"26",0.25,2,29.6,59.2,5,0.31,5.143792,1.48,0.008445945946,0.125,0.5,"2"
"27",0.25,2,14.8,59.2,5,0.28,6.917381,0.74,0.01689189189,0.125,0.25,"2"
"28",0.25,2,78.736,59.2,5,0.22,24.37236,3.9368,0.003175167649,0.125,1.33,"2"
"29",0.25,2,148,59.2,5,0.05,71.24893,7.4,0.001689189189,0.125,2.5,"2"
"30",0.25,2,1.95,59.2,5,0.24,7.01754386,0.0975,0.1282051282,0.125,0.03293918919,"1"
"31",0.25,2,1.95,59.2,2.5,0.1,33.33333333,0.195,0.1282051282,0.125,0.03293918919,"1"
"32",0.25,2,1.95,59.2,7.5,0.28,5.128205128,0.065,0.1282051282,0.125,0.03293918919,"1"
"33",0.25,2,1.95,59.2,3.3,0.12,33.33333333,0.1477272727,0.1282051282,0.125,0.03293918919,"1"
"34",0.25,2,1.95,59.2,1,0.12,22.22222222,0.4875,0.1282051282,0.125,0.03293918919,"1"
"35",0.25,2,1.95,59.2,6,0.28,6.060606061,0.08125,0.1282051282,0.125,0.03293918919,"1"
"36",0.25,2,1.95,59.2,9,0.36,4.597701149,0.05416666667,0.1282051282,0.125,0.03293918919,"1"
"37",0.25,2,1.95,59.2,1.66,0.1,19.04761905,0.2936746988,0.1282051282,0.125,0.03293918919,"1"
"38",0.25,2,1.95,59.2,10,0.29,4.8319729,0.04875,0.1282051282,0.125,0.03293918919,"1"
"39",0.25,2,1.95,59.2,12.5,0.275,4.6127355,0.039,0.1282051282,0.125,0.03293918919,"1"
"40",0.25,2,1.95,59.2,0.5,0.26,5.1432791,0.975,0.1282051282,0.125,0.03293918919,"1"
"41",0.25,2,1.95,59.2,4,0.22,20.724983,0.121875,0.1282051282,0.125,0.03293918919,"1"
"42",0.25,2,1.95,59.2,8.3,0.3,4.7289347,0.05873493976,0.1282051282,0.125,0.03293918919,"1"
"43",0.66,2,1.95,59.2,5,0.38,20,0.2574,0.3384615385,0.33,0.03293918919,"3"
"44",0.4,2,1.95,59.2,5,0.32,21.33333333,0.156,0.2051282051,0.2,0.03293918919,"3"
"45",0.25,2,1.95,59.2,5,0.47,7.01754386,0.0975,0.1282051282,0.125,0.03293918919,"3"
"46",1,2,1.95,59.2,5,0.42,13.33333333,0.39,0.5128205128,0.5,0.03293918919,"3"
"47",1.5,2,1.95,59.2,5,0.46,16.66666667,0.585,0.7692307692,0.75,0.03293918919,"3"
"48",1.32,2,1.95,59.2,5,0.41,10.3145039,0.5148,0.6769230769,0.66,0.03293918919,"3"
"49",1.98,2,1.95,59.2,5,0.48,14.832483,0.7722,1.015384615,0.99,0.03293918919,"3"
"50",0.15,2,1.95,59.2,5,0.31,19.732486,0.0585,0.07692307692,0.075,0.03293918919,"3"
"51",0.75,2,1.95,59.2,5,0.405,14.4275142,0.2925,0.3846153846,0.375,0.03293918919,"3"
