"","v_disp_horiz","v_cont_vert","miu_disp","miu_cont","surface_t","d","f","Ca_disp","Re_disp","Q_rel","Miu_rel","Ca*d - new Feature","Catg","new Regime Class"
"1",0.25,2,59.2,59.2,5,0.28,6.944444444,2.96,0.004222972973,0.125,1,10.57142857,"2","jet"
"2",0.25,2,118.4,59.2,5,0.12,83.33333333,5.92,0.002111486486,0.125,2,49.33333333,"2","jet"
"3",0.25,2,74,59.2,5,0.18,22.22222222,3.7,0.003378378378,0.125,1.25,20.55555556,"2","jet"
"4",0.25,2,88.8,59.2,5,0.2,41.66666667,4.44,0.002815315315,0.125,1.5,22.2,"2","jet"
"5",0.25,2,103.6,59.2,5,0.22,27.77777778,5.18,0.002413127413,0.125,1.75,23.54545455,"2","jet"
"6",0.25,2,44.4,59.2,5,0.3,5.747126437,2.22,0.005630630631,0.125,0.75,7.4,"2","squeez"
"7",0.25,2,1.95,59.2,5,0.24,7.01754386,0.0975,0.1282051282,0.125,0.03293918919,0.40625,"1","squeez"
"8",0.25,2,1.95,59.2,2.5,0.1,33.33333333,0.195,0.1282051282,0.125,0.03293918919,1.95,"1","drip"
"9",0.25,2,1.95,59.2,7.5,0.28,5.128205128,0.065,0.1282051282,0.125,0.03293918919,0.2321428571,"1","squeez"
"10",0.25,2,1.95,59.2,3.3,0.12,33.33333333,0.1477272727,0.1282051282,0.125,0.03293918919,1.231060606,"1","drip"
"11",0.25,2,1.95,59.2,1,0.12,22.22222222,0.4875,0.1282051282,0.125,0.03293918919,4.0625,"1","drip"
"12",0.25,2,1.95,59.2,6,0.28,6.060606061,0.08125,0.1282051282,0.125,0.03293918919,0.2901785714,"1","squeez"
"13",0.25,2,1.95,59.2,9,0.36,4.597701149,0.05416666667,0.1282051282,0.125,0.03293918919,0.150462963,"1","squeez"
"14",0.25,2,1.95,59.2,1.66,0.1,19.04761905,0.2936746988,0.1282051282,0.125,0.03293918919,2.936746988,"1","drip"
"15",0.66,2,1.95,59.2,5,0.34,20,0.2574,0.3384615385,0.33,0.03293918919,0.7570588235,"3","drip"
"16",0.4,2,1.95,59.2,5,0.32,21.33333333,0.156,0.2051282051,0.2,0.03293918919,0.4875,"3","squeez"
