Calculation on ML_data_for_d,,,,,,,,,,,,,,,,,,
,X_test,,,,,,,,Y_test,Y_pred,,,,,,,,
Name of Set,v_disp_horiz,miu_disp,surface_t,Ca_disp,Re_disp,Q_rel,Miu_rel,f,d,d_ANN,d_RF,d_SVR,MEAN,SD,UPPER,LOWER,CATEGORY,SET
y_test#?,0.25,14.8,5,0.016892,0.016892,0.125,0.25,6.917381,0.28,0.20052427,0.2992591,0.34875811,0,0,,,0,
y_test#35,0.25,1.95,9,0.054167,0.128205,0.125,0.032939,4.597701,0.36,0.32961702,0.33412,0.38647717,0.372565092,0.01033247431,0.3828975663,0.3622326177,SVR,#35
y_test#35,0.25,1.95,9,0.054167,0.128205,0.125,0.032939,4.597701,0.36,0.3366002,0.331414,0.36528336,0.320977738,0.008927929535,0.3299056675,0.3120498085,SVR,#17
y_test#35,0.25,1.95,9,0.054167,0.128205,0.125,0.032939,4.597701,0.36,0.35992396,0.33463,0.38084086,0.3034902,0.01059559189,0.3140857919,0.2928946081,SVR,#25
y_test#35,0.25,1.95,9,0.054167,0.128205,0.125,0.032939,4.597701,0.36,0.34188026,0.33321667,0.36577766,0.157785562,0.003102300376,0.1608878624,0.1546832616,SVR,#01
y_test#35,0.25,1.95,9,0.054167,0.128205,0.125,0.032939,4.597701,0.36,0.3198314,0.33329,0.36444641,0.333334134,0.001224695293,0.3345588293,0.3321094387,RF,#35
mean#35,,,,,,,,,0.36,0.337570568,0.333334134,0.372565092,0.415718662,0.0005284514479,0.4162471134,0.4151902106,RF,#17
sd#35,,,,,,,,,0,0.01497603252,0.001224695293,0.01033247431,0.28947518,0.005878655291,0.2953538353,0.2835965247,RF,#25
y_test#17,1,1.95,5,0.39,0.512821,0.5,0.032939,13.33333,0.42,0.4083959,0.41511,0.31222732,0.137572,0.001750462796,0.1393224628,0.1358215372,RF,#01
y_test#17,1,1.95,5,0.39,0.512821,0.5,0.032939,13.33333,0.42,0.41044718,0.41627,0.31973207,0.337570568,0.01497603252,0.3525466005,0.3225945355,ANN,#35
y_test#17,1,1.95,5,0.39,0.512821,0.5,0.032939,13.33333,0.42,0.41886434,0.41554857,0.31829643,0.416062404,0.006464672066,0.4225270761,0.4095977319,ANN,#17
y_test#17,1,1.95,5,0.39,0.512821,0.5,0.032939,13.33333,0.42,0.4239573,0.41609252,0.31856536,0.268411412,0.03007118804,0.2984826,0.238340224,ANN,#25
y_test#17,1,1.95,5,0.39,0.512821,0.5,0.032939,13.33333,0.42,0.4186473,0.41557222,0.33606751,0.153191562,0.05306332594,0.2062548879,0.1001282361,ANN,#01
mean#17,,,,,,,,,0.42,0.416062404,0.415718662,0.320977738,0.36,0,0.36,0.36,D,#35
sd#17,,,,,,,,,0,0.006464672066,0.0005284514479,0.008927929535,0.42,0,0.42,0.42,D,#17
y_test#25,0.25,29.6,5,1.48,0.008446,0.125,0.5,5.143792,0.31,0.3082378,0.28799733,0.31785135,0.31,0,0.31,0.31,D,#25
y_test#25,0.25,29.6,5,1.48,0.008446,0.125,0.5,5.143792,0.31,0.2455461,0.29423,0.29156358,0.12,0,0.12,0.12,D,#01
y_test#25,0.25,29.6,5,1.48,0.008446,0.125,0.5,5.143792,0.31,0.25226825,0.29264,0.31037208,,,0,0,,
y_test#25,0.25,29.6,5,1.48,0.008446,0.125,0.5,5.143792,0.31,0.24728353,0.27982476,0.301048,,,0,0,,
y_test#25,0.25,29.6,5,1.48,0.008446,0.125,0.5,5.143792,0.31,0.28872138,0.29268381,0.29661599,,,0,0,,
mean#25,,,,,,,,,0.31,0.268411412,0.28947518,0.3034902,,,0,0,,
sd#25,,,,,,,,,0,0.03007118804,0.005878655291,0.01059559189,,,0,0,,
y_test#01,0.25,118.4,5,5.92,0.002111,0.125,2,83.333333,0.12,0.16342558,0.13956,0.15358576,,,0,0,,
y_test#01,0.25,118.4,5,5.92,0.002111,0.125,2,83.333333,0.12,0.14448412,0.13574,0.16153382,,,0,0,,
y_test#01,0.25,118.4,5,5.92,0.002111,0.125,2,83.333333,0.12,0.08223817,0.13862,0.15883962,,,0,0,,
y_test#01,0.25,118.4,5,5.92,0.002111,0.125,2,83.333333,0.12,0.1452559,0.13572,0.15582347,,,0,0,,
y_test#01,0.25,118.4,5,5.92,0.002111,0.125,2,83.333333,0.12,0.23055404,0.13822,0.15914514,,,0,0,,
mean#01,,,,,,,,,0.12,0.153191562,0.137572,0.157785562,,,0,0,,
sd#01,,,,,,,,,0,0.05306332594,0.001750462796,0.003102300376,,,0,0,,
